topic,summaryFile,scuSentCharIdx,scuSentence,documentFile,docSentCharIdx,docSentText,docSpanOffsets,summarySpanOffsets,docSpanText,summarySpanText,Quality,pred_prob
D0606F,APW19980610.0858,0,"WASHINGTON, D.C. 20003 Tel: 202-547-4512 Fax: 202-546-4194 COPYRIGHT 1998 BY WORLDSOURCES, INC., A JOINT VENTURE OF FDCH, INC. AND WORLD TIMES, INC. NO PORTION OF THE MATERIALS CONTAINED HEREIN MAY BE USED IN ANY MEDIA WITHOUT ATTRIBUTION TO WORLDSOURCES, INC. Greenhouse gas emissions - blamed for global warming - may cause the collapse of the West Antarctic Ice Sheet and raise the average global sea level by four to six metres, beginning as early as the next century, a new scientific study predicted recently.",NYT20000823.0141,1268,"The warming phenomenon is widely blamed on the atmospheric build-up of ``greenhouse gases'' such as carbon dioxide, which are emitted during the burning of coal and other fossil fuels.","1268, 1382","276, 285;288, 313",The warming phenomenon is widely blamed on the atmospheric build-up of ``greenhouse gases'' such as carbon dioxide,emissions...blamed for global warming,0,0.5927018
D0606F,APW19980610.0858,0,"WASHINGTON, D.C. 20003 Tel: 202-547-4512 Fax: 202-546-4194 COPYRIGHT 1998 BY WORLDSOURCES, INC., A JOINT VENTURE OF FDCH, INC. AND WORLD TIMES, INC. NO PORTION OF THE MATERIALS CONTAINED HEREIN MAY BE USED IN ANY MEDIA WITHOUT ATTRIBUTION TO WORLDSOURCES, INC. Greenhouse gas emissions - blamed for global warming - may cause the collapse of the West Antarctic Ice Sheet and raise the average global sea level by four to six metres, beginning as early as the next century, a new scientific study predicted recently.",XIE20000216.0224,488,Houghton said at the panel Tuesday that one estimate suggests up to 150 million people may be made homeless as oceans swell with warmer temperature caused by the greenhouse effect.,"617, 668","276, 285;288, 313",warmer temperature caused by the greenhouse effect.,emissions...blamed for global warming,0,0.5561728
D0606F,APW19980610.0858,0,"WASHINGTON, D.C. 20003 Tel: 202-547-4512 Fax: 202-546-4194 COPYRIGHT 1998 BY WORLDSOURCES, INC., A JOINT VENTURE OF FDCH, INC. AND WORLD TIMES, INC. NO PORTION OF THE MATERIALS CONTAINED HEREIN MAY BE USED IN ANY MEDIA WITHOUT ATTRIBUTION TO WORLDSOURCES, INC. Greenhouse gas emissions - blamed for global warming - may cause the collapse of the West Antarctic Ice Sheet and raise the average global sea level by four to six metres, beginning as early as the next century, a new scientific study predicted recently.",APW19980610.0858,0,"WASHINGTON, D.C. 20003 Tel: 202-547-4512 Fax: 202-546-4194 COPYRIGHT 1998 BY WORLDSOURCES, INC., A JOINT VENTURE OF FDCH, INC. AND WORLD TIMES, INC. NO PORTION OF THE MATERIALS CONTAINED HEREIN MAY BE USED IN ANY MEDIA WITHOUT ATTRIBUTION TO WORLDSOURCES, INC. Greenhouse gas emissions - blamed for global warming - may cause the collapse of the West Antarctic Ice Sheet and raise the average global sea level by four to six metres, beginning as early as the next century, a new scientific study predicted recently.","306, 325","306, 325",warming - may cause,warming - may cause,0,0.61319906
D0606F,APW19980610.0858,0,"WASHINGTON, D.C. 20003 Tel: 202-547-4512 Fax: 202-546-4194 COPYRIGHT 1998 BY WORLDSOURCES, INC., A JOINT VENTURE OF FDCH, INC. AND WORLD TIMES, INC. NO PORTION OF THE MATERIALS CONTAINED HEREIN MAY BE USED IN ANY MEDIA WITHOUT ATTRIBUTION TO WORLDSOURCES, INC. Greenhouse gas emissions - blamed for global warming - may cause the collapse of the West Antarctic Ice Sheet and raise the average global sea level by four to six metres, beginning as early as the next century, a new scientific study predicted recently.",APW19990608.0009,0,"WASHINGTON (AP -- Rising ocean temperatures, perhaps caused by global climate change, are threatening to push salmon out of their Pacific Ocean habitat, two marine biologist said today, citing as early evidence the decline in Alaska salmon.","0, 10;45, 84","306, 325",WASHINGTON...perhaps caused by global climate change,warming - may cause,0,0.5002579
D0606F,APW19980610.0858,0,"WASHINGTON, D.C. 20003 Tel: 202-547-4512 Fax: 202-546-4194 COPYRIGHT 1998 BY WORLDSOURCES, INC., A JOINT VENTURE OF FDCH, INC. AND WORLD TIMES, INC. NO PORTION OF THE MATERIALS CONTAINED HEREIN MAY BE USED IN ANY MEDIA WITHOUT ATTRIBUTION TO WORLDSOURCES, INC. Greenhouse gas emissions - blamed for global warming - may cause the collapse of the West Antarctic Ice Sheet and raise the average global sea level by four to six metres, beginning as early as the next century, a new scientific study predicted recently.",APW19980610.0858,0,"WASHINGTON, D.C. 20003 Tel: 202-547-4512 Fax: 202-546-4194 COPYRIGHT 1998 BY WORLDSOURCES, INC., A JOINT VENTURE OF FDCH, INC. AND WORLD TIMES, INC. NO PORTION OF THE MATERIALS CONTAINED HEREIN MAY BE USED IN ANY MEDIA WITHOUT ATTRIBUTION TO WORLDSOURCES, INC. Greenhouse gas emissions - blamed for global warming - may cause the collapse of the West Antarctic Ice Sheet and raise the average global sea level by four to six metres, beginning as early as the next century, a new scientific study predicted recently.","12, 22;375, 409","12, 22;375, 409",D.C. 20003...raise the average global sea level,D.C. 20003...raise the average global sea level,0,0.71421474
D0606F,APW19980610.0858,0,"WASHINGTON, D.C. 20003 Tel: 202-547-4512 Fax: 202-546-4194 COPYRIGHT 1998 BY WORLDSOURCES, INC., A JOINT VENTURE OF FDCH, INC. AND WORLD TIMES, INC. NO PORTION OF THE MATERIALS CONTAINED HEREIN MAY BE USED IN ANY MEDIA WITHOUT ATTRIBUTION TO WORLDSOURCES, INC. Greenhouse gas emissions - blamed for global warming - may cause the collapse of the West Antarctic Ice Sheet and raise the average global sea level by four to six metres, beginning as early as the next century, a new scientific study predicted recently.",NYT19990607.0382,4051,"According to the Environmental Protection Agency, over the past century mean global temperatures have increased 0.6 to 1.2 degrees, the global sea level has risen 4 to 10 inches, and the snow cover in the Northern Hemisphere and floating ice in the Arctic Ocean have decreased.","4181, 4228","12, 22;375, 409",", the global sea level has risen 4 to 10 inches",D.C. 20003...raise the average global sea level,0,0.51221436
D0606F,APW19980610.0858,0,"WASHINGTON, D.C. 20003 Tel: 202-547-4512 Fax: 202-546-4194 COPYRIGHT 1998 BY WORLDSOURCES, INC., A JOINT VENTURE OF FDCH, INC. AND WORLD TIMES, INC. NO PORTION OF THE MATERIALS CONTAINED HEREIN MAY BE USED IN ANY MEDIA WITHOUT ATTRIBUTION TO WORLDSOURCES, INC. Greenhouse gas emissions - blamed for global warming - may cause the collapse of the West Antarctic Ice Sheet and raise the average global sea level by four to six metres, beginning as early as the next century, a new scientific study predicted recently.",XIE19971001.0046,1359,"It said that climate change is projected to raise sea levels; increase the likelihood of more intense rainfall, floods, and droughts; and endanger human health by greater exposure to heat waves and encroachment of tropical diseases to higher latitudes.","1359, 1419","12, 22;375, 409",It said that climate change is projected to raise sea levels,D.C. 20003...raise the average global sea level,0,0.5010698
D0606F,APW19980610.0858,0,"WASHINGTON, D.C. 20003 Tel: 202-547-4512 Fax: 202-546-4194 COPYRIGHT 1998 BY WORLDSOURCES, INC., A JOINT VENTURE OF FDCH, INC. AND WORLD TIMES, INC. NO PORTION OF THE MATERIALS CONTAINED HEREIN MAY BE USED IN ANY MEDIA WITHOUT ATTRIBUTION TO WORLDSOURCES, INC. Greenhouse gas emissions - blamed for global warming - may cause the collapse of the West Antarctic Ice Sheet and raise the average global sea level by four to six metres, beginning as early as the next century, a new scientific study predicted recently.",XIE19971114.0179,562,"The level of much of the Mediterranean could rise by close to one meter by 2100, the report said.","562, 641","12, 22;375, 409",The level of much of the Mediterranean could rise by close to one meter by 2100,D.C. 20003...raise the average global sea level,0,0.55435187
D0606F,APW19980610.0858,0,"WASHINGTON, D.C. 20003 Tel: 202-547-4512 Fax: 202-546-4194 COPYRIGHT 1998 BY WORLDSOURCES, INC., A JOINT VENTURE OF FDCH, INC. AND WORLD TIMES, INC. NO PORTION OF THE MATERIALS CONTAINED HEREIN MAY BE USED IN ANY MEDIA WITHOUT ATTRIBUTION TO WORLDSOURCES, INC. Greenhouse gas emissions - blamed for global warming - may cause the collapse of the West Antarctic Ice Sheet and raise the average global sea level by four to six metres, beginning as early as the next century, a new scientific study predicted recently.",XIE20000216.0224,669,"A rise in sea levels of up to one meter could happen by next century, affecting areas of Egypt, southern China and Bangladesh, he said, adding that a rise of one meter would wipe out the homes of up to 6 million people in Bangladesh alone.","669, 737","12, 22;375, 409",A rise in sea levels of up to one meter could happen by next century,D.C. 20003...raise the average global sea level,0,0.5382135
D0606F,APW19980610.0858,0,"WASHINGTON, D.C. 20003 Tel: 202-547-4512 Fax: 202-546-4194 COPYRIGHT 1998 BY WORLDSOURCES, INC., A JOINT VENTURE OF FDCH, INC. AND WORLD TIMES, INC. NO PORTION OF THE MATERIALS CONTAINED HEREIN MAY BE USED IN ANY MEDIA WITHOUT ATTRIBUTION TO WORLDSOURCES, INC. Greenhouse gas emissions - blamed for global warming - may cause the collapse of the West Antarctic Ice Sheet and raise the average global sea level by four to six metres, beginning as early as the next century, a new scientific study predicted recently.",APW19980610.0858,0,"WASHINGTON, D.C. 20003 Tel: 202-547-4512 Fax: 202-546-4194 COPYRIGHT 1998 BY WORLDSOURCES, INC., A JOINT VENTURE OF FDCH, INC. AND WORLD TIMES, INC. NO PORTION OF THE MATERIALS CONTAINED HEREIN MAY BE USED IN ANY MEDIA WITHOUT ATTRIBUTION TO WORLDSOURCES, INC. Greenhouse gas emissions - blamed for global warming - may cause the collapse of the West Antarctic Ice Sheet and raise the average global sea level by four to six metres, beginning as early as the next century, a new scientific study predicted recently.","433, 471","433, 471",beginning as early as the next century,beginning as early as the next century,0,0.724469
D0606F,APW19980610.0858,0,"WASHINGTON, D.C. 20003 Tel: 202-547-4512 Fax: 202-546-4194 COPYRIGHT 1998 BY WORLDSOURCES, INC., A JOINT VENTURE OF FDCH, INC. AND WORLD TIMES, INC. NO PORTION OF THE MATERIALS CONTAINED HEREIN MAY BE USED IN ANY MEDIA WITHOUT ATTRIBUTION TO WORLDSOURCES, INC. Greenhouse gas emissions - blamed for global warming - may cause the collapse of the West Antarctic Ice Sheet and raise the average global sea level by four to six metres, beginning as early as the next century, a new scientific study predicted recently.",NYT19990720.0148,3398,"In the next century, the rates of rise in temperature and sea level might occur up to seven times as fast as in the 20th century, the Pew study adds.","3398, 3417;3419, 3495","433, 471",In the next century...the rates of rise in temperature and sea level might occur up to seven times,beginning as early as the next century,0,0.5007188
D0606F,APW19980610.0858,0,"WASHINGTON, D.C. 20003 Tel: 202-547-4512 Fax: 202-546-4194 COPYRIGHT 1998 BY WORLDSOURCES, INC., A JOINT VENTURE OF FDCH, INC. AND WORLD TIMES, INC. NO PORTION OF THE MATERIALS CONTAINED HEREIN MAY BE USED IN ANY MEDIA WITHOUT ATTRIBUTION TO WORLDSOURCES, INC. Greenhouse gas emissions - blamed for global warming - may cause the collapse of the West Antarctic Ice Sheet and raise the average global sea level by four to six metres, beginning as early as the next century, a new scientific study predicted recently.",NYT19990720.0148,3398,"In the next century, the rates of rise in temperature and sea level might occur up to seven times as fast as in the 20th century, the Pew study adds.","3398, 3417;3507, 3526;3528, 3547","433, 471",In the next century...in the 20th century...the Pew study adds.,beginning as early as the next century,0,0.5186529
D0606F,APW19980610.0858,0,"WASHINGTON, D.C. 20003 Tel: 202-547-4512 Fax: 202-546-4194 COPYRIGHT 1998 BY WORLDSOURCES, INC., A JOINT VENTURE OF FDCH, INC. AND WORLD TIMES, INC. NO PORTION OF THE MATERIALS CONTAINED HEREIN MAY BE USED IN ANY MEDIA WITHOUT ATTRIBUTION TO WORLDSOURCES, INC. Greenhouse gas emissions - blamed for global warming - may cause the collapse of the West Antarctic Ice Sheet and raise the average global sea level by four to six metres, beginning as early as the next century, a new scientific study predicted recently.",XIE20000216.0224,669,"A rise in sea levels of up to one meter could happen by next century, affecting areas of Egypt, southern China and Bangladesh, he said, adding that a rise of one meter would wipe out the homes of up to 6 million people in Bangladesh alone.","669, 737","433, 471",A rise in sea levels of up to one meter could happen by next century,beginning as early as the next century,0,0.5361685
D0606F,APW19980610.0858,0,"WASHINGTON, D.C. 20003 Tel: 202-547-4512 Fax: 202-546-4194 COPYRIGHT 1998 BY WORLDSOURCES, INC., A JOINT VENTURE OF FDCH, INC. AND WORLD TIMES, INC. NO PORTION OF THE MATERIALS CONTAINED HEREIN MAY BE USED IN ANY MEDIA WITHOUT ATTRIBUTION TO WORLDSOURCES, INC. Greenhouse gas emissions - blamed for global warming - may cause the collapse of the West Antarctic Ice Sheet and raise the average global sea level by four to six metres, beginning as early as the next century, a new scientific study predicted recently.",APW19980610.0858,0,"WASHINGTON, D.C. 20003 Tel: 202-547-4512 Fax: 202-546-4194 COPYRIGHT 1998 BY WORLDSOURCES, INC., A JOINT VENTURE OF FDCH, INC. AND WORLD TIMES, INC. NO PORTION OF THE MATERIALS CONTAINED HEREIN MAY BE USED IN ANY MEDIA WITHOUT ATTRIBUTION TO WORLDSOURCES, INC. Greenhouse gas emissions - blamed for global warming - may cause the collapse of the West Antarctic Ice Sheet and raise the average global sea level by four to six metres, beginning as early as the next century, a new scientific study predicted recently.","473, 515","473, 515",a new scientific study predicted recently.,a new scientific study predicted recently.,0,0.7023154
D0606F,APW19980610.0858,0,"WASHINGTON, D.C. 20003 Tel: 202-547-4512 Fax: 202-546-4194 COPYRIGHT 1998 BY WORLDSOURCES, INC., A JOINT VENTURE OF FDCH, INC. AND WORLD TIMES, INC. NO PORTION OF THE MATERIALS CONTAINED HEREIN MAY BE USED IN ANY MEDIA WITHOUT ATTRIBUTION TO WORLDSOURCES, INC. Greenhouse gas emissions - blamed for global warming - may cause the collapse of the West Antarctic Ice Sheet and raise the average global sea level by four to six metres, beginning as early as the next century, a new scientific study predicted recently.",XIE19981104.0056,1524,"According to a scientific assessment, the globally averaged temperature will increase about 2 to 6 degrees by the year 2100.","1524, 1560","473, 515",According to a scientific assessment,a new scientific study predicted recently.,0,0.5221786
D0606F,APW19980610.0858,516,"Using recent technological advances in climate modelling and new scientific research on ice and oceans, Michael Oppenheimer, chief scientist at the New York-based Environmental Defense Fund, made three predictions on the impact of climate change on the Antarctic Ice Sheet.",APW19980610.0858,516,"Using recent technological advances in climate modelling and new scientific research on ice and oceans, Michael Oppenheimer, chief scientist at the New York-based Environmental Defense Fund, made three predictions on the impact of climate change on the Antarctic Ice Sheet.","664, 672;673, 705","664, 672;673, 705",New York...based Environmental Defense Fund,New York...based Environmental Defense Fund,0,0.6955996
D0606F,APW19980610.0858,516,"Using recent technological advances in climate modelling and new scientific research on ice and oceans, Michael Oppenheimer, chief scientist at the New York-based Environmental Defense Fund, made three predictions on the impact of climate change on the Antarctic Ice Sheet.",APW19980610.0858,0,"WASHINGTON, D.C. 20003 Tel: 202-547-4512 Fax: 202-546-4194 COPYRIGHT 1998 BY WORLDSOURCES, INC., A JOINT VENTURE OF FDCH, INC. AND WORLD TIMES, INC. NO PORTION OF THE MATERIALS CONTAINED HEREIN MAY BE USED IN ANY MEDIA WITHOUT ATTRIBUTION TO WORLDSOURCES, INC. Greenhouse gas emissions - blamed for global warming - may cause the collapse of the West Antarctic Ice Sheet and raise the average global sea level by four to six metres, beginning as early as the next century, a new scientific study predicted recently.","473, 515","516, 618;620, 640;707, 789",a new scientific study predicted recently.,"Using recent technological advances in climate modelling and new scientific research on ice and oceans...Michael Oppenheimer,...made three predictions on the impact of climate change on the Antarctic Ice Sheet.",0,0.5470268
D0606F,APW19980610.0858,516,"Using recent technological advances in climate modelling and new scientific research on ice and oceans, Michael Oppenheimer, chief scientist at the New York-based Environmental Defense Fund, made three predictions on the impact of climate change on the Antarctic Ice Sheet.",APW19980610.0858,516,"Using recent technological advances in climate modelling and new scientific research on ice and oceans, Michael Oppenheimer, chief scientist at the New York-based Environmental Defense Fund, made three predictions on the impact of climate change on the Antarctic Ice Sheet.","516, 618;620, 640;707, 789","516, 618;620, 640;707, 789","Using recent technological advances in climate modelling and new scientific research on ice and oceans...Michael Oppenheimer,...made three predictions on the impact of climate change on the Antarctic Ice Sheet.","Using recent technological advances in climate modelling and new scientific research on ice and oceans...Michael Oppenheimer,...made three predictions on the impact of climate change on the Antarctic Ice Sheet.",0,0.74373025
D0606F,APW19980610.0858,516,"Using recent technological advances in climate modelling and new scientific research on ice and oceans, Michael Oppenheimer, chief scientist at the New York-based Environmental Defense Fund, made three predictions on the impact of climate change on the Antarctic Ice Sheet.",APW19980610.0858,4197,"In an effort to simplify the controversy, Oppenheimer produced what he believed would be the three most probable effects of global warming on this relatively unstable sheet of ice.","4197, 4209;4239, 4377","516, 618;620, 640;707, 789",In an effort...Oppenheimer produced what he believed would be the three most probable effects of global warming on this relatively unstable sheet of ice.,"Using recent technological advances in climate modelling and new scientific research on ice and oceans...Michael Oppenheimer,...made three predictions on the impact of climate change on the Antarctic Ice Sheet.",0,0.6640244
D0606F,APW19980610.0858,790,"In two of the three scenarios, complete melting would raise global sea level by an average four to six metres, causing major coastal flooding worldwide, Oppenheimer wrote in the latest issue of the scientific journal Nature.'",APW19980610.0858,0,"WASHINGTON, D.C. 20003 Tel: 202-547-4512 Fax: 202-546-4194 COPYRIGHT 1998 BY WORLDSOURCES, INC., A JOINT VENTURE OF FDCH, INC. AND WORLD TIMES, INC. NO PORTION OF THE MATERIALS CONTAINED HEREIN MAY BE USED IN ANY MEDIA WITHOUT ATTRIBUTION TO WORLDSOURCES, INC. Greenhouse gas emissions - blamed for global warming - may cause the collapse of the West Antarctic Ice Sheet and raise the average global sea level by four to six metres, beginning as early as the next century, a new scientific study predicted recently.","12, 22;375, 409","790, 819;821, 866",D.C. 20003...raise the average global sea level,In two of the three scenarios...complete melting would raise global sea level,0,0.50584006
